Day,Stage,Artist,Old Time,Genre,ID,Archive Note
Friday 3/27,Live Stage,Connected Fighters,6:40 PM - 8:00 PM,Bass Music / Live Electronic,show_1_live-stage_connected-fighters_1,Removed from updated set-times file
Sunday 3/29,Worldwide Stage,Peekaboo,8:00 PM - 9:20 PM,Dubstep / Experimental Bass,show_3_worldwide-stage_peekaboo_1,Removed from updated set-times file
Sunday 3/29,Live Stage,Boiish,12:00 PM - 2:20 PM,Electronic / Live,show_3_live-stage_boiish_1,Removed from updated set-times file
Sunday 3/29,Live Stage,Parisi,2:20 PM - 4:45 PM,House / Latin House,show_3_live-stage_parisi_1,Removed from updated set-times file
